Employee ID,Last Name,First Name,Birthday,Phone Number,Status,Position,Immediate Supervisor
10001,Garcia,Manuel III,10/11/1983,966-860-270,Regular,Chief Executive Officer,N/A
10002,Lim,Antonio,06/19/1988,171-867-411,Regular,Chief Operating Officer,"Garcia, Manuel III"
10003,Aquino,Bianca Sofia,08/04/1989,966-889-370,Regular,Chief Finance Officer,"Garcia, Manuel III"
10004,Reyes,Isabella,06/16/1994,786-868-477,Regular,Chief Marketing Officer,"Garcia, Manuel III"
10005,Hernandez,Eduard,09/23/1989,088-861-012,Regular,IT Operations and Systems,"Lim, Antonio"
10006,Villanueva,Andrea Mae,02/14/1988,918-621-603,Regular,HR Manager,"Lim, Antonio"
10007,San Jose,Brad ,03/15/1996,797-009-261,Regular,HR Team Leader,"Villanueva, Andrea Mae"
10008,Romualdez,Alice,05/14/1992,983-606-799,Regular,HR Rank and File,"San, Jose Brad"
10009,Atienza,Rosie ,09/24/1948,266-036-427,Regular,HR Rank and File,"San, Jose Brad"
10010,Alvaro,Roderick,03/30/1988,053-381-386,Regular,Accounting Head,"Aquino, Bianca Sofia "
10011,Salcedo,Anthony,09/14/1993,070-766-300,Regular,Payroll Manager,"Alvaro, Roderick"
10012,Lopez,Josie ,01/14/1987,478-355-427,Regular,Payroll Team Leader,"Salcedo, Anthony"
10013,Farala,Martha,01/11/1942,329-034-366,Regular,Payroll Rank and File,"Salcedo, Anthony"
10014,Martinez,Leila,07/11/1970,877-110-749,Regular,Payroll Rank and File,"Salcedo, Anthony"
10015,Romualdez,Fredrick ,03/10/1985,023-079-009,Regular,Account Manager,"Lim, Antonio"
10016,Mata,Christian,10/21/1987,783-776-744,Regular,Account Team Leader,"Romualdez, Fredrick "
10017,De Leon,Selena ,02/20/1975,975-432-139,Regular,Account Team Leader,"Romualdez, Fredrick "
10018,San Jose,Allison ,06/24/1986,179-075-129,Regular,Account Rank and File,"Mata, Christian"
10019,Rosario,Cydney ,10/06/1996,868-819-912,Regular,Account Rank and File,"Mata, Christian"
10020,Bautista,Mark ,02/12/1991,683-725-348,Regular,Account Rank and File,"Mata, Christian"
10021,Lazaro,Darlene ,11/25/1985,740-721-558,Probationary,Account Rank and File,"Mata, Christian"
10022,Delos Santos,Kolby ,02/26/1980,739-443-033,Probationary,Account Rank and File,"Mata, Christian"
10023,Santos,Vella ,12/31/1983,955-879-269,Probationary,Account Rank and File,"Mata, Christian"
10024,Del Rosario,Tomas,12/18/1978,882-550-989,Probationary,Account Rank and File,"Mata, Christian"
10025,Tolentino,Jacklyn ,05/19/1984,675-757-366,Probationary,Account Rank and File,"De Leon, Selena"
